"Rank","Country","Population_2026","Yearly_Change","Net_Change","Density_per_km2","Land_Area_km2","Migrants","Fert_Rate","Median_Age","Urban_Pop_Pct","World_Share","Dependency_Pressure_Index","Urban_Stress_Index","Pop_Density_Log","Population_Log","CPPS","Population_Pressure"
17,"Iran",93168497,0.81,750816,57,1620370,8498,1.66,34.5,73.5,1.12,94.62,59.535,4.06044301054642,18.3499202182276,0.353490216809347,"Moderate"
18,"Turkey",87926082,0.27,240656,114,769630,0,1.62,33.9,77.5,1.06,184.68,20.925,4.74493212836325,18.2920070535644,0.287718054628311,"Low"
19,"Germany",83644258,1.15,84065,240,348560,8498,1.46,45.7,77,1.01,350.4,88.55,5.48479693349065,18.2420833518404,0.384119487926119,"Moderate"
20,"Tanzania",72563780,2.86,826905.75,82,885800,0,4.41,17.6,40.8,0.87,361.62,116.688,4.4188406077966,18.0999764710133,0.558484210720116,"High"
21,"Thailand",71559614,1.15,84065,140,510890,8498,1.19,41,54.3,0.86,166.6,62.445,4.94875989037817,18.0860414364897,0.321859863818923,"Low"
22,"United Kingdom",69931528,0.55,380196,289,241930,8498,1.53,40.2,84.7,0.84,442.17,46.585,5.66988092298052,18.0630271641629,0.386241249848162,"Moderate"
23,"France",66746401,0.14,95597,122,547557,8498,1.64,42.5,83,0.8,200.08,11.62,4.81218435537242,18.0164109511701,0.320847494171369,"Low"
24,"South Africa",65453084,1.09,705765,54,1213090,8498,2.17,28.9,66.9,0.79,117.18,72.921,4.00733318523247,17.9968441844271,0.39775002251496,"Moderate"
25,"Italy",58926166,1.15,84065,200,294140,8498,1.22,48.6,72.4,0.71,244,83.26,5.30330490805908,17.891795811427,0.348937556324384,"Moderate"
26,"Kenya",58636412,1.92,826905.75,103,569140,0,3.07,20.3,32.6,0.71,316.21,62.592,4.64439089914137,17.8868664438218,0.417298675236879,"Moderate"
27,"Myanmar",55184819,0.61,334171,84,653290,0,2.06,30.4,34.6,0.66,173.04,21.106,4.44265125649032,17.8261984734279,0.259550712158113,"Low"
28,"Colombia",53936226,0.96,510591,49,1109500,8498,1.6,33,80.5,0.65,78.4,77.28,3.91202300542815,17.8033129251389,0.37395072005975,"Moderate"
29,"Sudan",53282719,3.14,826905.75,30,1620370,8498,4.13,18.8,35.4,0.64,123.9,111.156,3.43398720448515,17.7911226339444,0.589331942393571,"High"
30,"Uganda",52761469,2.68,826905.75,264,199810,0,3.97,17.1,30.8,0.64,1048.08,82.544,5.57972982598622,17.7812917474419,0.549125141386618,"High"
31,"South Korea",51600388,1.15,84065,531,97230,8498,0.76,46.2,82.8,0.62,403.56,95.22,6.27664348934164,17.7590397691831,0.421740295683034,"Moderate"
32,"Algeria",48028334,1.25,593022,20,1620370,0,2.62,28.8,74.8,0.58,52.4,93.5,3.04452243772342,17.6873017072063,0.38624025631774,"Moderate"
33,"Iraq",48007437,2.1,826905.75,111,434320,0,3.13,21.1,73,0.58,347.43,153.3,4.71849887129509,17.6868665152007,0.500454154675168,"High"
34,"Spain",47850793,1.15,84065,96,498800,8498,1.24,46.3,79.6,0.58,119.04,91.54,4.57471097850338,17.683598269247,0.345198641642048,"Moderate"
35,"Argentina",46003734,0.33,152356,17,1620370,2316,1.51,33.3,96.5,0.55,25.67,31.845,2.89037175789616,17.6442331468094,0.312663486264436,"Low"
36,"Afghanistan",45047069,2.74,826905.75,69,652860,0,4.56,17.4,26.9,0.54,314.64,73.706,4.24849524204936,17.6232185010578,0.53208558508742,"High"
37,"Yemen",42961653,2.84,826905.75,81,527970,0,4.33,18.5,33.3,0.52,350.73,94.572,4.40671924726425,17.5758185083548,0.538131342638421,"High"
38,"Canada",40467728,0.85,341005,4,1620370,8498,1.33,40.8,80.2,0.49,5.32,68.17,1.6094379124341,17.5160153996363,0.324767401590258,"Moderate"
39,"Angola",40215179,3.01,826905.75,32,1246700,0,4.89,16.7,69.4,0.48,156.48,208.894,3.49650756146648,17.5097550942521,0.631579969941419,"High"
40,"Ukraine",39535849,1.43,555473,68,579320,0,1,41.8,75.5,0.48,68,107.965,4.23410650459726,17.4927184131928,0.299115069348126,"Low"
41,"Morocco",38762441,0.86,331671,87,446300,0,2.16,30.1,67.9,0.47,187.92,58.394,4.47733681447821,17.4729623460982,0.338564854616666,"Moderate"
42,"Poland",37843188,1.15,84065,124,306230,0,1.31,43,59.7,0.46,162.44,68.655,4.8283137373023,17.4489615744955,0.278649125003933,"Low"
43,"Uzbekistan",37724223,1.81,670795,89,425400,0,3.4,27,47.9,0.45,302.6,86.699,4.49980967033027,17.4458129924928,0.433335921555801,"High"
44,"Mozambique",36639851,2.83,826905.75,47,786380,0,4.54,16.6,42.1,0.44,213.38,119.143,3.87120101090789,17.4166470584607,0.559946592528156,"High"
45,"Malaysia",36385115,1.13,407277,111,328550,8498,1.52,31.4,77.8,0.44,168.72,87.914,4.71849887129509,17.4096703478852,0.393563381686102,"Moderate"
46,"Ghana",35697557,1.81,633285,157,227540,0,3.26,21.6,59.2,0.43,511.82,107.152,5.06259503302697,17.3905928410489,0.473507926502517,"High"
47,"Saudi Arabia",35165787,1.73,599459,16,1620370,8498,2.27,29.7,91.9,0.42,36.32,158.987,2.83321334405622,17.3755842361181,0.475946892637697,"High"
48,"Peru",34922148,1,345483,27,1280000,6707,1.93,30.6,80.9,0.42,52.11,80.9,3.3322045101752,17.3686318277065,0.383731889760828,"Moderate"
49,"Madagascar",33522052,2.39,781374,58,581795,0,3.78,19.4,41,0.4,219.24,97.99,4.07753744390572,17.3277140787193,0.488623315206859,"High"
50,"Côte d'Ivoire",33494346,2.39,782799,105,318000,6535,4.1,18.5,49.5,0.4,430.5,118.305,4.66343909411207,17.3268872362874,0.56951808600787,"High"
51,"Cameroon",30640817,2.55,761480,65,472710,0,4.12,18.2,59.8,0.37,267.8,152.49,4.18965474202643,17.2378435996082,0.55187950661163,"High"
52,"Nepal",29629410,0.04,11292,207,143350,0,1.92,25.7,25.3,0.36,397.44,1.012,5.33753807970132,17.2042780408506,0.238448833073596,"Low"
53,"Niger",28814878,3.21,826905.75,23,1266700,0,5.64,15.7,18.5,0.35,129.72,59.385,3.17805383034795,17.1764024436423,0.594478923035493,"High"
54,"Venezuela",28633711,0.41,116815,32,882050,0,2.04,29.5,62.4,0.34,65.28,25.584,3.49650756146648,17.1700953228788,0.284160131261219,"Low"
55,"Australia",27227096,0.94,253070,4,1620370,8498,1.64,38.5,86.7,0.33,6.56,81.498,1.6094379124341,17.1197232486104,0.362235406308754,"Moderate"
56,"North Korea",26633691,0.24,62655,221,120410,0,1.75,36.8,63.7,0.32,386.75,15.288,5.40267738187228,17.0976875888113,0.284798417345719,"Low"
57,"Syria",26472497,3.33,826905.75,144,183630,8498,2.62,23.8,54.2,0.32,377.28,180.486,4.97673374242057,17.0916169407366,0.572620594804734,"High"
58,"Mali",25932275,2.91,733454,21,1220190,0,5.33,15.9,45.1,0.31,111.93,131.241,3.09104245335832,17.0709989284411,0.604717527636877,"High"
59,"Burkina Faso",24601700,2.19,527120,90,273600,0,3.92,18,34.5,0.3,352.8,75.555,4.51085950651685,17.0183261448536,0.481896093273586,"High"
60,"Sri Lanka",23348315,0.51,118845,372,62710,0,1.93,33.6,18.2,0.28,717.96,9.282,5.92157841964382,16.9660354195641,0.273547524864797,"Low"
61,"Taiwan",23011292,1.15,84065,650,35410,0,0.86,45.4,84.9,0.28,559,97.635,6.47850964220857,16.9514956533924,0.407898784565138,"Moderate"
62,"Malawi",22785535,2.56,569415,242,94280,1348,3.45,18.4,20.2,0.27,834.9,51.712,5.49306144334055,16.9416365066518,0.498082717220013,"High"
